datetime,timestamp,open,high,low,close,volume
2025-10-02 08:00:00+00:00,1759392000000,142.12,150.9,137.33,140.98,91000.85
2025-10-02 12:00:00+00:00,1759406400000,140.98,159.74,126.57,132.76,171781.27
2025-10-02 16:00:00+00:00,1759420800000,132.76,138.45,127.19,131.09,118341.44
2025-10-02 20:00:00+00:00,1759435200000,131.09,134.23,128.87,131.48,45453.3
2025-10-03 00:00:00+00:00,1759449600000,131.48,137.15,123.33,125.03,60039.36
2025-10-03 04:00:00+00:00,1759464000000,125.03,143.66,124.18,141.16,42309.04
2025-10-03 08:00:00+00:00,1759478400000,141.16,157.31,135.24,151.49,58437.95
2025-10-03 12:00:00+00:00,1759492800000,151.49,151.7,140.58,150.44,53312.0
2025-10-03 16:00:00+00:00,1759507200000,150.44,153.82,135.46,138.59,72939.38
2025-10-03 20:00:00+00:00,1759521600000,138.59,140.26,126.84,127.33,59012.42
2025-10-04 00:00:00+00:00,1759536000000,127.4,131.12,124.11,128.88,24891.58
2025-10-04 04:00:00+00:00,1759550400000,128.88,135.8,128.14,134.11,20867.06
2025-10-04 08:00:00+00:00,1759564800000,134.11,137.82,129.93,137.74,12640.03
2025-10-04 12:00:00+00:00,1759579200000,137.74,147.66,136.52,141.93,27141.0
2025-10-04 16:00:00+00:00,1759593600000,141.93,172.75,140.13,170.27,104734.86
2025-10-04 20:00:00+00:00,1759608000000,170.27,175.63,154.36,156.57,107027.66
2025-10-05 00:00:00+00:00,1759622400000,156.57,172.06,156.45,159.52,59465.71
2025-10-05 04:00:00+00:00,1759636800000,159.52,163.73,157.47,161.01,28258.39
2025-10-05 08:00:00+00:00,1759651200000,161.01,161.01,144.67,145.55,29946.58
2025-10-05 12:00:00+00:00,1759665600000,145.55,153.48,143.84,149.73,32197.92
2025-10-05 16:00:00+00:00,1759680000000,149.73,171.96,149.53,163.39,79310.9
2025-10-05 20:00:00+00:00,1759694400000,163.39,169.61,159.66,165.89,49842.01
2025-10-06 00:00:00+00:00,1759708800000,165.89,169.03,159.42,160.96,24996.6
2025-10-06 04:00:00+00:00,1759723200000,160.96,161.6,154.44,159.76,20881.49
2025-10-06 08:00:00+00:00,1759737600000,159.76,176.62,158.45,172.14,35333.52
2025-10-06 12:00:00+00:00,1759752000000,172.14,175.41,159.48,163.28,59098.83
2025-10-06 16:00:00+00:00,1759766400000,163.28,166.38,157.03,161.69,43231.97
2025-10-06 20:00:00+00:00,1759780800000,161.69,162.3,155.26,156.13,30937.14
2025-10-07 00:00:00+00:00,1759795200000,156.13,161.01,147.31,148.01,41110.47
2025-10-07 04:00:00+00:00,1759809600000,148.01,148.42,142.3,145.7,29542.92
2025-10-07 08:00:00+00:00,1759824000000,145.7,155.07,141.8,144.98,34160.1
2025-10-07 12:00:00+00:00,1759838400000,144.98,148.63,131.78,137.04,63966.68
2025-10-07 16:00:00+00:00,1759852800000,137.04,146.57,119.9,129.49,160100.82
2025-10-07 20:00:00+00:00,1759867200000,130.74,134.84,126.36,127.3,60115.58
2025-10-08 00:00:00+00:00,1759881600000,127.3,135.63,126.02,134.39,36360.36
2025-10-08 04:00:00+00:00,1759896000000,134.39,139.21,129.49,136.45,40363.52
2025-10-08 08:00:00+00:00,1759910400000,136.45,142.4,132.93,139.67,27031.09
2025-10-08 12:00:00+00:00,1759924800000,139.67,169.28,137.69,166.37,113755.62
2025-10-08 16:00:00+00:00,1759939200000,166.37,186.22,164.78,175.51,167283.05
2025-10-08 20:00:00+00:00,1759953600000,175.51,184.94,169.53,177.16,72071.77
2025-10-09 00:00:00+00:00,1759968000000,177.16,180.4,164.51,169.87,76672.57
2025-10-09 04:00:00+00:00,1759982400000,169.87,185.84,167.31,179.53,36658.19
2025-10-09 08:00:00+00:00,1759996800000,179.53,197.91,163.37,191.98,91819.23
2025-10-09 12:00:00+00:00,1760011200000,191.98,195.9,180.16,188.62,98220.41
2025-10-09 16:00:00+00:00,1760025600000,188.62,217.07,187.41,213.95,243754.15
2025-10-09 20:00:00+00:00,1760040000000,213.95,217.4,207.29,213.12,81524.97
2025-10-10 00:00:00+00:00,1760054400000,213.12,239.63,212.8,231.5,180017.43
2025-10-10 04:00:00+00:00,1760068800000,231.5,274.16,222.83,226.0,190918.26
